CarID,Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Hybrid,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.ID,Identification.Make,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque
1479,186,85,13,All-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,20,Gasoline,27,Automatic transmission,2012 Ford Escape XLS AWD,Ford,2012 Ford Escape,2012,171,171
1480,188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2012 Ford Escape XLT,Ford,2012 Ford Escape,2012,171,171
1481,188,85,13,Front-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,14,E85,19,Automatic transmission,2012 Ford Escape XLT FFV,Ford,2012 Ford Escape,2012,240,223
1482,186,85,13,Four-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,20,Gasoline,27,Automatic transmission,2012 Ford Escape XLT 4WD,Ford,2012 Ford Escape,2012,171,171
1483,186,85,13,Four-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,13,E85,17,Automatic transmission,2012 Ford Escape XLT 4WD FFV,Ford,2012 Ford Escape,2012,240,223
1484,188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2012 Ford Escape Limited,Ford,2012 Ford Escape,2012,171,171
1485,188,85,13,Front-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,14,E85,19,Automatic transmission,2012 Ford Escape Limited FFV,Ford,2012 Ford Escape,2012,240,223
1486,186,85,13,Four-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,20,Gasoline,27,Automatic transmission,2012 Ford Escape Limited 4WD,Ford,2012 Ford Escape,2012,171,171
1487,186,85,13,Four-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,13,E85,17,Automatic transmission,2012 Ford Escape Limited 4WD FFV,Ford,2012 Ford Escape,2012,240,223
1488,188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,5,5 Speed Manual,23,Gasoline,28,Manual transmission,2011 Ford Escape XLS,Ford,2011 Ford Escape,2011,171,171
1489,188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2011 Ford Escape XLS AT,Ford,2011 Ford Escape,2011,171,171
1490,186,85,13,All-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,26,Automatic transmission,2011 Ford Escape XLS AWD,Ford,2011 Ford Escape,2011,171,171
1491,188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2011 Ford Escape XLT,Ford,2011 Ford Escape,2011,171,171
1492,188,85,13,Front-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,19,Gasoline,25,Automatic transmission,2011 Ford Escape XLT FFV,Ford,2011 Ford Escape,2011,240,223
1493,186,85,13,All-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,26,Automatic transmission,2011 Ford Escape XLT AWD,Ford,2011 Ford Escape,2011,171,171
1494,186,85,13,All-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,13,E85,17,Automatic transmission,2011 Ford Escape XLT AWD FFV,Ford,2011 Ford Escape,2011,240,223
1495,188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2011 Ford Escape Limited,Ford,2011 Ford Escape,2011,171,171
1496,188,85,13,Front-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,19,Gasoline,25,Automatic transmission,2011 Ford Escape Limited FFV,Ford,2011 Ford Escape,2011,240,223
1497,186,85,13,All-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,26,Automatic transmission,2011 Ford Escape Limited AWD,Ford,2011 Ford Escape,2011,171,171
1498,125,36,166,All-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 210 hp 400 ft-lbs Turbo Diesel,TRUE,7,7 Speed Automatic,18,Diesel fuel,24,Automatic transmission,2010 Mercedes-Benz R350 BlueTEC 4Matic,Mercedes,2010 Mercedes-Benz R-Class,2010,210,400
1499,125,36,166,All-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,TRUE,7,7 Speed Automatic Select Shift,14,Gasoline,19,Automatic transmission,2010 Mercedes-Benz R350 4Matic,Mercedes,2010 Mercedes-Benz R-Class,2010,268,258
1500,125,36,166,All-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 210 hp 400 ft-lbs Turbo Diesel,TRUE,7,7 Speed Automatic Select Shift,18,Diesel fuel,24,Automatic transmission,2011 Mercedes-Benz R350 BlueTEC 4Matic,Mercedes,2011 Mercedes-Benz R-Class,2011,210,400
1501,125,36,166,All-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,TRUE,7,7 Speed Automatic Select Shift,15,Gasoline,19,Automatic transmission,2011 Mercedes-Benz R350 4Matic,Mercedes,2011 Mercedes-Benz R-Class,2011,268,258
1502,195,245,3,Front-wheel drive,Chevrolet 1.8L 4 Cylinder 138 hp 123 ft-lbs,TRUE,6,6 Speed Manual,25,Gasoline,36,Manual transmission,2012 Chevrolet Cruze LS,Chevrolet,2012 Chevrolet Cruze,2012,138,123
1503,195,245,3,Front-wheel drive,Chevrolet 1.8L 4 Cylinder 138 hp 123 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,35,Automatic transmission,2012 Chevrolet Cruze LS AT,Chevrolet,2012 Chevrolet Cruze,2012,138,123
1504,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Manual,26,Gasoline,38,Manual transmission,2012 Chevrolet Cruze 1LT,Chevrolet,2012 Chevrolet Cruze,2012,138,148
1505,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,26,Gasoline,38,Automatic transmission,2012 Chevrolet Cruze 1LT AT,Chevrolet,2012 Chevrolet Cruze,2012,138,148
1506,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Manual,28,Gasoline,42,Manual transmission,2012 Chevrolet Cruze Eco,Chevrolet,2012 Chevrolet Cruze,2012,138,148
1507,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,26,Gasoline,39,Automatic transmission,2012 Chevrolet Cruze Eco AT,Chevrolet,2012 Chevrolet Cruze,2012,138,148
1508,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Manual,26,Gasoline,38,Manual transmission,2012 Chevrolet Cruze 2LT,Chevrolet,2012 Chevrolet Cruze,2012,138,148
1509,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,26,Gasoline,38,Automatic transmission,2012 Chevrolet Cruze 2LT AT,Chevrolet,2012 Chevrolet Cruze,2012,138,148
1510,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,26,Gasoline,38,Automatic transmission,2012 Chevrolet Cruze LTZ,Chevrolet,2012 Chevrolet Cruze,2012,138,148
1511,137,184,24,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,25,Automatic transmission,2010 BMW 328i xDrive Sports Wagon AT,BMW Motorrad,2010 BMW 3 Series Sports Wagon,2010,230,200
1512,137,184,24,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Manual,17,Gasoline,26,Manual transmission,2010 BMW 328i Sports Wagon,BMW Motorrad,2010 BMW 3 Series Sports Wagon,2010,230,200
1513,137,184,24,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Manual,17,Gasoline,25,Manual transmission,2010 BMW 328i xDrive Sports Wagon,BMW Motorrad,2010 BMW 3 Series Sports Wagon,2010,230,200
1514,137,184,24,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,27,Automatic transmission,2010 BMW 328i Sports Wagon AT,BMW Motorrad,2010 BMW 3 Series Sports Wagon,2010,230,200
1515,195,245,3,Front-wheel drive,Chevrolet 1.8L 4 Cylinder 136 hp 123 ft-lbs,TRUE,6,6 Speed Manual,26,Gasoline,36,Manual transmission,2011 Chevrolet Cruze LS,Chevrolet,2011 Chevrolet Cruze,2011,136,123
1516,195,245,3,Front-wheel drive,Chevrolet 1.8L 4 Cylinder 136 hp 123 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,35,Automatic transmission,2011 Chevrolet Cruze LS AT,Chevrolet,2011 Chevrolet Cruze,2011,136,123
1517,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,24,Gasoline,36,Automatic transmission,2011 Chevrolet Cruze 1LT,Chevrolet,2011 Chevrolet Cruze,2011,138,148
1518,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Manual,28,Gasoline,42,Manual transmission,2011 Chevrolet Cruze Eco,Chevrolet,2011 Chevrolet Cruze,2011,138,148
1519,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,26,Gasoline,37,Automatic transmission,2011 Chevrolet Cruze Eco AT,Chevrolet,2011 Chevrolet Cruze,2011,138,148
1520,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,24,Gasoline,36,Automatic transmission,2011 Chevrolet Cruze 2LT,Chevrolet,2011 Chevrolet Cruze,2011,138,148
1521,195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,24,Gasoline,36,Automatic transmission,2011 Chevrolet Cruze LTZ,Chevrolet,2011 Chevrolet Cruze,2011,138,148
1522,132,225,118,Front-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,2011 Cadillac SRX,Cadillac,2011 Cadillac SRX,2011,265,223
1523,132,225,118,Front-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,2011 Cadillac SRX Luxury,Cadillac,2011 Cadillac SRX,2011,265,223
1524,132,225,118,Front-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,2011 Cadillac SRX Performance,Cadillac,2011 Cadillac SRX,2011,265,223
1525,132,225,118,All-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2011 Cadillac SRX Luxury AWD,Cadillac,2011 Cadillac SRX,2011,265,223
1526,132,225,118,Front-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,2011 Cadillac SRX Premium,Cadillac,2011 Cadillac SRX,2011,265,223
1527,132,225,118,All-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2011 Cadillac SRX Premium AWD,Cadillac,2011 Cadillac SRX,2011,265,223
1528,132,225,118,All-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2011 Cadillac SRX Performance AWD,Cadillac,2011 Cadillac SRX,2011,265,223
1529,188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,5,5 Speed Manual,22,Gasoline,28,Manual transmission,2010 Ford Escape XLS,Ford,2010 Ford Escape,2010,171,171
1530,188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2010 Ford Escape XLS AT,Ford,2010 Ford Escape,2010,171,171
1531,186,85,13,All-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,26,Automatic transmission,2010 Ford Escape XLS AWD,Ford,2010 Ford Escape,2010,171,171
1532,188,85,13,Four-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2010 Ford Escape XLT,Ford,2010 Ford Escape,2010,171,171
1533,188,85,13,Front-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,19,Gasoline,25,Automatic transmission,2010 Ford Escape XLT FFV,Ford,2010 Ford Escape,2010,240,223
1534,186,85,13,All-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,26,Automatic transmission,2010 Ford Escape XLT AWD,Ford,2010 Ford Escape,2010,171,171
1535,186,85,13,All-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,13,E85,17,Automatic transmission,2010 Ford Escape XLT AWD FFV,Ford,2010 Ford Escape,2010,240,223
1536,188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2010 Ford Escape Limited,Ford,2010 Ford Escape,2010,171,171
1537,188,85,13,Front-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,19,Gasoline,25,Automatic transmission,2010 Ford Escape Limited FFV,Ford,2010 Ford Escape,2010,240,223
1538,186,85,13,All-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,26,Automatic transmission,2010 Ford Escape Limited AWD,Ford,2010 Ford Escape,2010,171,171
1539,186,85,13,All-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,13,E85,17,Automatic transmission,2010 Ford Escape Limited AWD FFV,Ford,2010 Ford Escape,2010,240,223
1540,254,118,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,TRUE,4,4 Speed Automatic,24,Gasoline,32,Automatic transmission,2011 Nissan Versa Sedan 1.8 SL,Nissan,2011 Nissan Versa Sedan,2011,122,127
1541,254,118,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,TRUE,6,6 Speed Manual,26,Gasoline,31,Manual transmission,2011 Nissan Versa Sedan 1.8 S,Nissan,2011 Nissan Versa Sedan,2011,122,127
1542,254,118,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,TRUE,4,4 Speed Automatic,24,Gasoline,32,Automatic transmission,2011 Nissan Versa Sedan 1.8 S AT,Nissan,2011 Nissan Versa Sedan,2011,122,127
1543,254,118,158,Front-wheel drive,Nissan 1.6L 4 Cylinder 107 hp 111 ft-lbs,TRUE,5,5 Speed Manual,26,Gasoline,34,Manual transmission,2011 Nissan Versa Sedan 1.6,Nissan,2011 Nissan Versa Sedan,2011,107,111
1544,254,118,158,Front-wheel drive,Nissan 1.6L 4 Cylinder 107 hp 111 ft-lbs,TRUE,4,4 Speed Automatic,25,Gasoline,33,Automatic transmission,2011 Nissan Versa Sedan 1.6 AT,Nissan,2011 Nissan Versa Sedan,2011,107,111
1545,254,118,158,Front-wheel drive,Nissan 1.6L 4 Cylinder 107 hp 111 ft-lbs,TRUE,5,5 Speed Manual,26,Gasoline,34,Manual transmission,2011 Nissan Versa 1.6 Sedan,Nissan,2011 Nissan Versa Sedan,2011,107,111
1546,64,29,217,All-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,13,Gasoline,18,Automatic transmission,2011 Cadillac Escalade ESV AWD,Cadillac,2011 Cadillac Escalade ESV,2011,403,417
1547,64,29,217,Rear-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,10,E85,15,Automatic transmission,2011 Cadillac Escalade ESV Luxury,Cadillac,2011 Cadillac Escalade ESV,2011,403,417
1548,64,29,217,All-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,9,E85,13,Automatic transmission,2011 Cadillac Escalade ESV Luxury AWD,Cadillac,2011 Cadillac Escalade ESV,2011,403,417
1549,64,29,217,Rear-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,10,E85,15,Automatic transmission,2011 Cadillac Escalade ESV Premium,Cadillac,2011 Cadillac Escalade ESV,2011,403,417
1550,64,29,217,All-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,13,Gasoline,18,Automatic transmission,2011 Cadillac Escalade ESV Premium AWD,Cadillac,2011 Cadillac Escalade ESV,2011,403,417
1551,64,29,217,Rear-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,10,E85,15,Automatic transmission,2011 Cadillac Escalade ESV Platinum,Cadillac,2011 Cadillac Escalade ESV,2011,403,417
1552,64,29,217,All-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,13,Gasoline,18,Automatic transmission,2011 Cadillac Escalade ESV Platinum AWD,Cadillac,2011 Cadillac Escalade ESV,2011,403,417
1553,254,118,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,TRUE,6,6 Speed Manual,26,Gasoline,31,Manual transmission,2010 Nissan Versa Sedan 1.8 S,Nissan,2010 Nissan Versa Sedan,2010,122,127
1554,254,118,158,Front-wheel drive,Nissan 1.6L 4 Cylinder 107 hp 111 ft-lbs,TRUE,4,4 Speed Automatic,26,Gasoline,33,Automatic transmission,2010 Nissan Versa Sedan 1.6 AT,Nissan,2010 Nissan Versa Sedan,2010,107,111
1555,254,118,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,TRUE,4,4 Speed Automatic,24,Gasoline,32,Automatic transmission,2010 Nissan Versa Sedan 1.8 S AT,Nissan,2010 Nissan Versa Sedan,2010,122,127
1556,254,118,158,Front-wheel drive,Nissan 1.6L 4 Cylinder 107 hp 111 ft-lbs,TRUE,5,5 Speed Manual,26,Gasoline,34,Manual transmission,2010 Nissan Versa Sedan 1.6,Nissan,2010 Nissan Versa Sedan,2010,107,111
1557,254,118,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,TRUE,4,4 Speed Automatic,24,Gasoline,32,Automatic transmission,2010 Nissan Versa Sedan 1.8 SL,Nissan,2010 Nissan Versa Sedan,2010,122,127
1558,254,118,158,Front-wheel drive,Nissan 1.6L 4 Cylinder 107 hp 111 ft-lbs,TRUE,5,5 Speed Manual,26,Gasoline,34,Manual transmission,2010 Nissan Versa 1.6 Sedan,Nissan,2010 Nissan Versa Sedan,2010,107,111
1559,137,184,24,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Manual,17,Gasoline,26,Manual transmission,2011 BMW 328i Sports Wagon,BMW Motorrad,2011 BMW 3 Series Sports Wagon,2011,230,200
1560,137,184,24,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,27,Automatic transmission,2011 BMW 328i Sports Wagon AT,BMW Motorrad,2011 BMW 3 Series Sports Wagon,2011,230,200
1561,137,184,24,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Manual,17,Gasoline,25,Manual transmission,2011 BMW 328i xDrive Sports Wagon,BMW Motorrad,2011 BMW 3 Series Sports Wagon,2011,230,200
1562,137,184,24,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,26,Automatic transmission,2011 BMW 328i xDrive Sports Wagon AT,BMW Motorrad,2011 BMW 3 Series Sports Wagon,2011,230,200
1563,125,29,217,Rear-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,14,Gasoline,20,Automatic transmission,2010 Cadillac Escalade ESV,Cadillac,2010 Cadillac Escalade ESV,2010,403,417
1564,125,29,217,All-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,10,E85,15,Automatic transmission,2010 Cadillac Escalade ESV AWD,Cadillac,2010 Cadillac Escalade ESV,2010,403,417
1565,125,29,217,Rear-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,14,Gasoline,20,Automatic transmission,2010 Cadillac Escalade ESV Luxury,Cadillac,2010 Cadillac Escalade ESV,2010,403,417
1566,125,29,217,All-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,10,E85,15,Automatic transmission,2010 Cadillac Escalade ESV Luxury AWD,Cadillac,2010 Cadillac Escalade ESV,2010,403,417
1567,125,29,217,Rear-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,10,E85,16,Automatic transmission,2010 Cadillac Escalade ESV Premium,Cadillac,2010 Cadillac Escalade ESV,2010,403,417
1568,125,29,217,All-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,10,E85,15,Automatic transmission,2010 Cadillac Escalade ESV Premium AWD,Cadillac,2010 Cadillac Escalade ESV,2010,403,417
1569,125,29,217,Rear-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,14,Gasoline,20,Automatic transmission,2010 Cadillac Escalade ESV Platinum,Cadillac,2010 Cadillac Escalade ESV,2010,403,417
1570,125,29,217,All-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,13,Gasoline,20,Automatic transmission,2010 Cadillac Escalade ESV Platinum AWD,Cadillac,2010 Cadillac Escalade ESV,2010,403,417
1571,135,23,214,Rear-wheel drive,Cadillac 6.0L 8 Cylinder 332 hp 367 ft-lbs Hybrid,TRUE,4,4 Speed Automatic Select Shift,20,Gasoline,23,Automatic transmission,2011 Cadillac Escalade Hybrid,Cadillac,2011 Cadillac Escalade Hybrid,2011,332,367
1572,135,23,214,Four-wheel drive,Cadillac 6.0L 8 Cylinder 332 hp 367 ft-lbs Hybrid,TRUE,4,4 Speed Automatic Select Shift,20,Gasoline,23,Automatic transmission,2011 Cadillac Escalade Hybrid 4WD,Cadillac,2011 Cadillac Escalade Hybrid,2011,332,367
1573,135,23,214,Rear-wheel drive,Cadillac 6.0L 8 Cylinder 332 hp 367 ft-lbs Hybrid,TRUE,4,4 Speed Automatic Select Shift,20,Gasoline,23,Automatic transmission,2011 Cadillac Escalade Hybrid Platinum,Cadillac,2011 Cadillac Escalade Hybrid,2011,332,367
1574,135,23,214,Four-wheel drive,Cadillac 6.0L 8 Cylinder 332 hp 367 ft-lbs Hybrid,TRUE,4,4 Speed Automatic Select Shift,20,Gasoline,23,Automatic transmission,2011 Cadillac Escalade Hybrid Platinum 4WD,Cadillac,2011 Cadillac Escalade Hybrid,2011,332,367
1575,203,28,57,Front-wheel drive,Dodge 2.4L 4 Cylinder 173 hp 166 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,20,Gasoline,31,Automatic transmission,2011 Dodge Avenger Mainstreet,Dodge,2011 Dodge Avenger,2011,173,166
1576,203,28,57,Front-wheel drive,Dodge 2.4L 4 Cylinder 173 hp 166 ft-lbs,TRUE,4,4 Speed Automatic,21,Gasoline,30,Automatic transmission,2011 Dodge Avenger Express,Dodge,2011 Dodge Avenger,2011,173,166
1577,203,28,57,Front-wheel drive,Dodge 3.6L 6 Cylinder 283 hp 260 ft-lbs FFV,TRUE,6,6 Speed Automatic Select Shift,19,Gasoline,29,Automatic transmission,2011 Dodge Avenger Heat,Dodge,2011 Dodge Avenger,2011,283,260
1578,203,28,57,Front-wheel drive,Dodge 2.4L 4 Cylinder 173 hp 166 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,20,Gasoline,31,Automatic transmission,2011 Dodge Avenger Lux,Dodge,2011 Dodge Avenger,2011,173,166
1579,142,202,26,Front-wheel drive,Honda 2.4L 4 Cylinder 180 hp 161 ft-lbs,TRUE,5,5 Speed Automatic,21,Gasoline,28,Automatic transmission,2011 Honda CR-V LX,Honda,2011 Honda CR-V,2011,180,161
1580,142,202,26,Four-wheel drive,Honda 2.4L 4 Cylinder 180 hp 161 ft-lbs,TRUE,5,5 Speed Automatic,21,Gasoline,27,Automatic transmission,2011 Honda CR-V LX 4WD,Honda,2011 Honda CR-V,2011,180,161
1581,142,202,26,Front-wheel drive,Honda 2.4L 4 Cylinder 180 hp 161 ft-lbs,TRUE,5,5 Speed Automatic,21,Gasoline,28,Automatic transmission,2011 Honda CR-V SE,Honda,2011 Honda CR-V,2011,180,161
1582,142,202,26,Four-wheel drive,Honda 2.4L 4 Cylinder 180 hp 161 ft-lbs,TRUE,5,5 Speed Automatic,21,Gasoline,27,Automatic transmission,2011 Honda CR-V SE 4WD,Honda,2011 Honda CR-V,2011,180,161
